id,customer_name,purchase_date,active,directly_sold,address,tunning_date,brand,model,type,email
1,Melvyn Schneidau,4/16/2023,true,false,1st Floor,9/19/2022,GMC,Sierra 2500,americanexpress,mschneidau0@printfriendly.com
2,Cortie Balcon,2/21/2023,false,false,Suite 39,7/28/2022,Lotus,Elan,jcb,cbalcon1@tripod.com
3,Adam Raysdale,11/17/2022,false,false,Room 65,1/2/2023,Nissan,Pathfinder,bankcard,araysdale2@imdb.com
4,Rosalia Reford,12/13/2022,false,true,Room 536,8/26/2022,Cadillac,STS-V,mastercard,rreford3@theguardian.com
5,Cirilo Fitzgerald,6/16/2023,false,true,14th Floor,9/22/2022,Hummer,H1,switch,cfitzgerald4@cam.ac.uk
6,Hali Yankov,6/14/2023,false,true,17th Floor,4/9/2023,Cadillac,Eldorado,maestro,hyankov5@nifty.com
7,Jere Topaz,2/14/2023,false,false,14th Floor,10/18/2022,Volkswagen,Golf,americanexpress,jtopaz6@live.com
8,Shayla Ortner,6/3/2022,false,true,Suite 56,10/29/2022,Bentley,Arnage,diners-club-enroute,sortner7@scribd.com
9,Shirleen Cardall,8/7/2022,false,false,Apt 1600,7/3/2022,Volvo,S90,visa-electron,scardall8@bigcartel.com
10,Kellsie Korneichik,10/8/2022,true,false,8th Floor,4/4/2023,Mazda,MPV,jcb,kkorneichik9@nih.gov
11,Bartlett Gianelli,12/17/2022,true,true,16th Floor,11/30/2022,Mercedes-Benz,W201,jcb,bgianellia@sbwire.com
12,Giselbert Mark,7/8/2022,true,true,Room 1639,8/27/2022,Honda,S2000,diners-club-us-ca,gmarkb@netlog.com
13,Roxie Rudgard,9/12/2022,true,true,Room 988,6/14/2023,Hyundai,Accent,americanexpress,rrudgardc@booking.com
14,Stavros Ferrandez,10/14/2022,false,true,PO Box 95924,6/11/2023,GMC,Sonoma Club Coupe,visa,sferrandezd@dedecms.com
15,Teodor Fransewich,4/14/2023,false,true,PO Box 78595,3/26/2023,BMW,X6,maestro,tfransewiche@domainmarket.com
16,Arly McMurdo,5/18/2023,false,false,Apt 941,5/29/2023,Mercury,Grand Marquis,china-unionpay,amcmurdof@networksolutions.com
17,Nikita Thyng,6/30/2022,false,true,Suite 47,12/8/2022,Aptera,Typ-1,jcb,nthyngg@unesco.org
18,Son Vuittet,8/18/2022,true,false,Room 150,3/15/2023,Mazda,Miata MX-5,jcb,svuitteth@nytimes.com
19,Oates Godspeede,11/8/2022,false,true,Room 1816,8/10/2022,Mazda,Miata MX-5,visa-electron,ogodspeedei@intel.com
20,Abbey Foster-Smith,9/17/2022,true,true,Room 523,10/18/2022,Ford,Laser,jcb,afostersmithj@goodreads.com
21,Tomas Saunton,4/26/2022,true,false,Apt 851,4/25/2023,Eagle,Talon,mastercard,tsauntonk@craigslist.org
22,Meredeth Bresson,5/5/2023,true,false,PO Box 43517,11/27/2022,Suzuki,Vitara,laser,mbressonl@elegantthemes.com
23,Marlena Poulett,5/6/2023,true,false,PO Box 35804,4/10/2023,Mercury,Sable,bankcard,mpoulettm@wufoo.com
24,Robinet Lessmare,12/2/2022,false,false,Room 32,10/1/2022,Mazda,B-Series Plus,jcb,rlessmaren@parallels.com
